,circle_id,y,x
0,0,34.659418,138.074893
1,1,34.75837559979414,137.9633336883447
2,2,34.65091891865163,138.07128796924832
3,3,34.66971011597912,138.05686027762488
4,4,34.65479344690058,138.05067674048215
5,5,34.66099522331093,138.02992298507613
6,6,34.66792781552256,138.0395581878908
7,7,34.681251494273845,138.04997960887974
8,8,34.70552500530501,138.05851241242289
9,9,34.71269749612495,138.05710913468516
10,10,34.700389756477946,138.07291337815744
11,11,34.68337003956437,138.06801428956422
12,12,34.678398648121195,137.9752581871796
13,13,34.67224991664945,137.99003072571543
14,14,34.66227816632321,138.01170034794336
15,15,34.669029195089394,138.0034755007
16,16,34.69082162871301,137.9682681864798
